id	cohort	task_version	sequence	gender	age	SOT_trial	SOT_jitter	SOT_cueOn	SOT_cueOff	SOT_predOn	SOT_predResp	SOT_stimOn	SOT_stimOff	SOT_vasOn_1	SOT_vasOn_2	SOT_vasOn_3	SOT_vasOff_1	SOT_vasOff_2	SOT_vasOff_3	SOT_iti	predResp	predRT	predAcc	stim	targetT_1	targetT_2	targetT_3	targetT_4	targetT_5	vasYN	vasResp_1	vasResp_2	vasResp_3	vasRT_1	vasRT_2	vasRT_3	jitterDuration	stimDuration	itiDuration	trialDuration	trialValidity_1	trialValidity_2	trialValidity_3	trialValidity_4	trialSuccess	trial	condition	block_type	cue	trial_type	desired_prob	actual_prob	block_volatility	outcome	cue_prediction	blockwise_trial	blockNumber	location
403	1	1	1	1	22	5.01348860003054	5.17624490009621	5.03119100024924	5.16200580028817	5.28578549996018	6.06314889993519	7.78750950004905	13.024278299883	NA	NA	NA	NA	NA	NA	13.0584712000564	1	0.777363399975002	1	1	32	42	42	42	32	0	NA	NA	NA	NA	NA	NA	0.12399525256649	5.23676879983395	1.08989165077609	9.13487425080192	1	1	1	1	1	1	1	3	0	1	0.82	0.821428571	0	1	1	1	1	1
403	1	1	1	1	22	14.5485755000263	14.7248582998291	14.5531652001664	14.6931842002086	14.8614762001671	15.9341322998516	17.648236699868	22.8770991000347	NA	NA	NA	NA	NA	NA	22.911701399833	1	1.07265609968454	1	1	42	42	42	32	32	0	NA	NA	NA	NA	NA	NA	0.141726706908437	5.22886240016669	1.08086242313031	9.44398832293693	1	1	1	1	1	2	1	3	0	1	0.82	0.821428571	0	1	1	2	1	1
403	1	1	1	1	22	24.1757236002013	24.3502008998767	24.1801386000589	24.3188028000295	24.532194300089	25.2144299000502	26.9251195001416	37.0962026999332	32.1722949002869	34.0251269000582	35.3385244999081	34.0236960998736	35.3378714001738	37.0760679999366	37.1083392999135	1	0.682235599961132	1	1	32	42	42	42	32	1	0	58.75	1.97916666666667	1.7305840998888	1.19584990013391	1.62698810035363	0.104965443032574	10.1710831997916	1.77724053654894	14.7098562362611	1	1	1	1	1	3	1	3	0	1	0.82	0.821428571	0	1	1	3	1	1
403	1	1	1	1	22	38.544714699965	38.7181051000953	38.5483570001088	38.6882330002263	38.9091886999086	40.2147559998557	41.9326237002388	47.1658006999642	NA	NA	NA	NA	NA	NA	47.1969653000124	1	1.30556729994714	1	1	42	42	42	32	32	0	NA	NA	NA	NA	NA	NA	0.190271610991528	5.2331769997254	1.90513474422357	10.557385344271	1	1	1	1	1	4	1	3	0	1	0.82	0.821428571	0	1	1	4	1	1
403	1	1	1	1	22	48.3503267001361	48.5374675998464	48.3561077001505	48.5043100002222	48.6786298998632	49.3661548001692	51.0840163999237	56.3395986999385	NA	NA	NA	NA	NA	NA	56.3567087999545	1	0.687524900306016	1	1	42	42	42	32	32	0	NA	NA	NA	NA	NA	NA	0.194478718972165	5.25558230001479	1.533771951767	9.54015405158544	1	1	1	1	1	5	1	3	0	1	0.82	0.821428571	0	1	1	5	1	1
403	1	1	1	1	22	57.6388611001894	57.8153673000634	57.6435262002051	57.7829815000296	57.9405506001785	58.6230466002598	60.3365838001482	71.6515313000418	65.5697706001811	68.5874185999855	69.9538279999979	68.5864887000062	69.9507606001571	71.641752100084	71.6639310000464	0	0.682496000081301	1	0	32	18	18	32	32	1	70.625	0	0	2.90403789980337	1.25941779976711	1.57982270000502	0.149086409246808	11.3149474998936	1.10915421204246	15.1342241118995	1	1	1	1	1	6	2	3	1	1	0.82	0.821428571	0	0	1	6	1	1
403	1	1	1	1	22	72.8618131000549	73.0225296001881	72.8739856001921	73.0110603002831	73.2070247000083	73.9419879000634	75.6546660000458	80.8879241002724	NA	NA	NA	NA	NA	NA	80.919298700057	0	0.734963200055063	1	0	32	32	32	18	18	0	NA	NA	NA	NA	NA	NA	0.148925263840002	5.23325810022652	1.8258088578556	9.88329445785771	1	1	1	1	1	7	2	3	1	1	0.82	0.821428571	0	0	1	7	1	1
403	1	1	1	1	22	82.6315807001665	82.807833999861	82.6358467000537	82.77467409987	82.9863141998649	84.2780702998862	85.9947212999687	91.2208773000166	NA	NA	NA	NA	NA	NA	91.2524331999011	0	1.2917561000213	1	0	18	18	32	32	32	0	NA	NA	NA	NA	NA	NA	0.133771940982138	5.22615600004792	1.33809771880217	9.95895021853678	1	1	1	1	1	8	2	3	1	1	0.82	0.821428571	0	0	1	8	1	1
403	1	1	1	1	22	92.2968379999511	92.4725620001554	92.3008570000529	92.4391316999681	92.6099053998478	93.3904073000886	95.1055156001821	107.303194799926	100.329483100213	104.186812200118	105.704789599869	104.186369500123	105.704541400075	107.295907999855	107.315829200204	0	0.780501900240779	1	0	32	18	18	32	32	1	63.8541666666667	0	0	3.73902030009776	1.3913397998549	1.4524190002121	0.190005384641766	12.197679199744	1.29397305302648	16.3129642532799	1	1	1	1	1	9	2	3	1	1	0.82	0.821428571	0	0	1	9	1	1
403	1	1	1	1	22	108.599056600127	108.759000000078	108.602780700196	108.743146500085	108.883021099959	109.774468299933	111.488070500083	121.450235200115	116.743268600199	118.646845300216	120.049125600141	118.646488599945	120.048673700076	121.433679600246	121.460941700265	1	0.891447199974209	1	1	32	42	42	42	32	1	0	72.2916666666667	5.20833333333333	1.79897389980033	1.25846079969779	1.25123930023983	0.136924678112022	9.96216470003128	1.74631342770368	14.6081985278411	1	1	1	1	1	10	1	3	0	1	0.82	0.821428571	0	1	1	10	1	1
403	1	1	1	1	22	122.720282200258	122.890930099878	122.723141300026	122.860245400108	123.023473000154	123.750662500039	125.469235300086	136.702275100164	130.695059200283	133.56656640023	135.190810500178	133.566087199841	135.19053200027	136.690668200143	139.728686999995	1	0.727189499884844	0	0	32	32	18	18	32	1	64.8958333333333	0	0.104166666666667	2.78324399981648	1.50306619983166	1.34969409974292	0.111120275529379	11.2330398000777	1.0103366183434	18.0187414180804	1	1	1	1	1	11	3	3	0	2	0.82	0.821428571	0	0	1	11	1	1
403	1	1	1	1	22	140.818782399874	140.981285899878	140.82338730013	140.964343000203	141.130342500284	142.614388800226	144.33468300011	149.578537300229	NA	NA	NA	NA	NA	NA	149.613010699861	1	1.48404629994184	0	0	32	32	18	18	32	0	NA	NA	NA	NA	NA	NA	0.178025206832114	5.24385430011898	1.04844733925322	9.84267563923979	1	1	1	1	1	12	2	3	1	1	0.82	0.821428571	0	0	1	12	1	2
