id	cohort	task_version	sequence	gender	age	SOT_trial	SOT_jitter	SOT_cueOn	SOT_cueOff	SOT_predOn	SOT_predResp	SOT_stimOn	SOT_stimOff	SOT_vasOn_1	SOT_vasOn_2	SOT_vasOn_3	SOT_vasOff_1	SOT_vasOff_2	SOT_vasOff_3	SOT_iti	predResp	predRT	predAcc	stim	targetT_1	targetT_2	targetT_3	targetT_4	targetT_5	vasYN	vasResp_1	vasResp_2	vasResp_3	vasRT_1	vasRT_2	vasRT_3	jitterDuration	stimDuration	itiDuration	trialDuration	trialValidity_1	trialValidity_2	trialValidity_3	trialValidity_4	trialSuccess	trial	condition	block_type	cue	trial_type	desired_prob	actual_prob	block_volatility	outcome	cue_prediction	blockwise_trial	blockNumber	location
279	1	1	4	2	22	5.04883640003391	5.76389289996587	5.06572780001443	5.74740300001577	5.961737500038	7.49507449998055	9.25985959998798	21.9004604000365	14.351689400035	18.0899027000414	20.5129198000068	18.0871318000136	20.5120640000096	21.8862110000337	21.938395199948	0	1.53333699994255	0	1	38	38	38	32	32	1	0	89.9305555555556	49.5659722222222	3.63717090000864	2.38084830006119	1.30590389994904	0.182337669278235	12.6406008000486	1.96755741511325	18.8571162150273	1	1	1	1	1	1	3	3	0	2	0.18	0.1875	0	1	2	1	1	1
279	1	1	4	2	22	23.9428636999801	24.6703380999388	23.9521437999792	24.6358850999968	24.8200480999658	26.1267049999442	27.8498516000109	32.9507598000346	NA	NA	NA	NA	NA	NA	32.9822552000405	1	1.30665689997841	0	0	32	32	22	22	32	0	NA	NA	NA	NA	NA	NA	0.126519158644756	5.1009082000237	1.95685755130193	10.9962490513624	1	0	0	0	1	2	1	3	0	1	0.18	0.1875	0	0	2	2	1	1
279	1	1	4	2	22	34.9639592999592	35.6305718000513	34.9815868999576	35.593361999956	35.8472622999689	37.4946330999956	39.2457847000333	52.7348685000325	44.3483841000125	48.1292627999792	49.868849099963	48.1281145999674	49.8648954000091	52.7210695999674	52.770574099966304	0	1.64737080002669	0	1	38	38	38	32	32	1	60.6770833333333	83.0729166666667	28.9930555555556	3.70696290000342	1.67495320003945	2.75020530004986	0.184189338637853	13.4890837999992	1.90032529822074	19.7069400982278	1	1	1	1	1	3	3	3	0	2	0.18	0.1875	0	1	2	3	1	1
279	1	1	4	2	22	54.6888323000167	55.4026988999685	54.7003610000247	55.3668617999647	55.6148368000286	57.2306525999447	59.001461799955	64.1106034000404	NA	NA	NA	NA	NA	NA	64.1479749999708	0	1.61581579991616	1	0	32	32	22	22	32	0	NA	NA	NA	NA	NA	NA	0.197629262307429	5.10914160008542	1.62830370821155	11.0874464081656	1	0	0	0	1	4	1	3	0	1	0.18	0.1875	0	0	2	4	1	1
279	1	1	4	2	22	65.7907533999532	66.4587633999763	65.8147936000023	66.4469587999629	66.6469426000258	67.1104535999475	68.8805628999835	73.9917281999951	NA	NA	NA	NA	NA	NA	74.0088357999921	1	0.463510999921709	0	0	22	22	32	32	32	0	NA	NA	NA	NA	NA	NA	0.154168740955892	5.11116530001163	1.61044758028064	9.82852998031948	1	0	0	0	1	5	1	3	0	1	0.18	0.1875	0	0	2	5	1	1
279	1	1	4	2	22	75.6360775999492	76.291330600041	75.6592908999883	76.2747252000263	76.4196795000462	78.3905054000206	80.1570816000458	85.2690303999698	NA	NA	NA	NA	NA	NA	85.2860376000172	0	1.97082589997444	0	1	32	38	38	38	32	0	NA	NA	NA	NA	NA	NA	0.108658858489368	5.11194879992399	1.1001299858262	10.7500899858942	1	0	0	0	1	6	2	3	1	1	0.18	0.1875	0	1	2	6	1	1
279	1	1	4	2	22	86.4002469000407	87.0690889999969	86.4195298999548	87.0324250999838	87.2844899999909	89.3822406999534	91.1336582000367	96.2457337999949	NA	NA	NA	NA	NA	NA	96.2628580000019	1	2.09775069996249	1	1	38	38	38	32	32	0	NA	NA	NA	NA	NA	NA	0.187813746695593	5.11207559995819	1.43233972169326	11.2949508216545	1	0	0	0	1	7	2	3	1	1	0.18	0.1875	0	1	2	7	1	1
279	1	1	4	2	22	97.709346299991	98.3621190999402	97.7303153999383	98.3303638000507	98.5954819000326	99.9023209000006	101.626354999957	111.555427000043	106.724050399964	109.103531499975	110.305401999969	109.102986900019	110.305019799969	111.529629700002	111.571688600001	1	1.30683899996802	1	1	32	32	38	38	38	1	78.6458333333333	78.8194444444444	34.2881944444444	2.31474839989096	1.11582830001134	1.09781479998492	0.194049587507864	9.92907200008631	1.06890645606753	14.9312487560774	1	1	1	1	1	8	2	3	1	1	0.18	0.1875	0	1	2	8	1	1
279	1	1	4	2	22	112.658792000031	113.387792999973	112.668372899992	113.349423100008	113.553886599955	114.79818719998	116.569347899989	126.763617899967	121.656070900033	124.136347700027	125.336322200019	124.135954799945	125.335983199999	126.739265499986	126.779789400054	1	1.24430060002487	0	0	32	32	32	22	22	1	79.7743055555556	0	46.09375	2.42327709996607	1.14226000010967	1.35807950003073	0.137338508328065	10.1942699999781	1.99053041131599	16.111527811339	1	1	1	1	1	9	4	3	1	2	0.18	0.1875	0	0	2	9	1	1
279	1	1	4	2	22	128.788599999971	129.528242000029	128.813265200006	129.511390300002	129.710743900039	131.110235600034	132.876673100051	137.987658699974	NA	NA	NA	NA	NA	NA	138.023420699988	0	1.39949169999454	1	0	22	22	32	32	32	0	NA	NA	NA	NA	NA	NA	0.1641351802338	5.11098559992388	1.14026480927091	10.3750855092886	1	0	0	0	1	10	1	3	0	1	0.18	0.1875	0	0	2	10	1	1
