id	cohort	task_version	sequence	gender	age	SOT_trial	SOT_jitter	SOT_cueOn	SOT_cueOff	SOT_predOn	SOT_predResp	SOT_stimOn	SOT_stimOff	SOT_vasOn_1	SOT_vasOn_2	SOT_vasOn_3	SOT_vasOff_1	SOT_vasOff_2	SOT_vasOff_3	SOT_iti	predResp	predRT	predAcc	stim	targetT_1	targetT_2	targetT_3	targetT_4	targetT_5	vasYN	vasResp_1	vasResp_2	vasResp_3	vasRT_1	vasRT_2	vasRT_3	jitterDuration	stimDuration	itiDuration	trialDuration	trialValidity_1	trialValidity_2	trialValidity_3	trialValidity_4	trialSuccess	trial	condition	block_type	cue	trial_type	desired_prob	actual_prob	block_volatility	outcome	cue_prediction	blockwise_trial	blockNumber	location
399	3	2	4	1	21	5.04811179998796	5.81213350000326	5.09830099996179	5.7959886000026	5.99591609998606	7.76985499996226	9.49480240000412	14.6083213000093	14.6091202000389	16.0884662999306	18.0248056999408	16.0867309999885	18.0241637999425	20.2369882999919	20.255752600031	0	1.7739388999762	0	1	32	32	43	43	43	1	0	24.6527777777778	21.5277777777778	1.37699720007367	1.89956429996528	2.15903510001954	0.158968884567961	5.11351890000515	1.44702584522977	596311.9204844	1	1	1	1	1	1	3	3	0	2	0.18	0.1875	0	1	2	1	1	1
399	3	2	4	1	21	21.7138922000304	22.5028713999782	21.7713233999675	22.468558399938	22.6348191000288	23.831857000012	25.6025707999943	30.715146600036	NA	NA	NA	NA	NA	NA	30.7491450000089	1	1.19703789998312	0	0	32	32	17	17	32	0	NA	NA	NA	NA	NA	NA	0.116456918225919	5.11257580004167	1.23341529660121	596305.5343017	1	0	0	0	1	2	1	3	0	1	0.18	0.1875	0	0	2	2	1	1
399	3	2	4	1	21	31.9932571999962	32.7139421999454	32.0492511999328	32.6834222000325	32.897924699937	34.7878795999568	36.513881699997	41.6115018000128	41.6118140999461	45.29077219998	46.8396586999297	45.2902548999991	46.8392935999436	48.4382373000262	48.4565838000271	0	1.8899549000198	0	1	43	43	43	32	32	1	3.21180555555556	20.9201388888889	29.6875	3.59184540004935	1.48010879999492	1.52736319997348	0.155158388918045	5.09762010001577	1.16733657563841	596312.8963001	1	1	1	1	1	3	3	3	0	2	0.18	0.1875	0	1	2	3	1	1
399	3	2	4	1	21	49.6351636999752	50.4209788999287	49.689068299951	50.404470999958	50.6209500000114	52.1965242000297	53.9361807999667	59.0464462999953	NA	NA	NA	NA	NA	NA	59.0835124000441	0	1.57557420001831	1	0	32	32	32	17	17	0	NA	NA	NA	NA	NA	NA	0.176724851653396	5.11026550002862	1.16335585686815	596305.8773518	1	0	0	0	1	4	1	3	0	1	0.18	0.1875	0	0	2	4	1	1
399	3	2	4	1	21	60.2573619999457	60.9818101000274	60.3166012000293	60.9651324999286	61.1655800000299	62.7128744999645	64.4808315000264	69.5776947999839	NA	NA	NA	NA	NA	NA	69.6115273999749	0	1.54729449993465	1	0	32	17	17	32	32	0	NA	NA	NA	NA	NA	NA	0.153482678984247	5.09686329995748	1.92714405571749	596306.5469572	1	0	0	0	1	5	1	3	0	1	0.18	0.1875	0	0	2	5	1	1
399	3	2	4	1	21	71.5499434999656	72.275378499995	71.6104960000375	72.2584114000201	72.473311400041	73.9047006999608	75.6740522999316	80.7728808999527	NA	NA	NA	NA	NA	NA	80.8046266000019	1	1.43138929991983	1	1	32	32	43	43	43	0	NA	NA	NA	NA	NA	NA	0.177697261790948	5.09882860002108	1.45539675390417	596305.9758702	1	0	0	0	1	6	2	3	1	1	0.18	0.1875	0	1	2	6	1	1
399	3	2	4	1	21	82.2705573999556	82.9870512000052	82.3213250000263	82.9516672999598	83.1534683000064	84.4788038999541	86.2355839000084	91.3331711000064	NA	NA	NA	NA	NA	NA	91.3654622000176	1	1.32533559994772	1	1	43	43	43	32	32	0	NA	NA	NA	NA	NA	NA	0.128732511555828	5.09758719999809	1.20387040223769	596305.5643987	1	0	0	0	1	7	2	3	1	1	0.18	0.1875	0	1	2	7	1	1
399	3	2	4	1	21	92.5800862000324	93.2976161999395	92.6320413999492	93.2629192000022	93.4286697999341	94.6866840999573	96.429699899978	101.527424599975	101.527674600016	104.927138800034	107.341946500004	104.926525600022	107.341343599954	109.726483099977	109.735928699956	1	1.25801430002321	1	1	43	43	43	32	32	1	3.81944444444444	22.9166666666667	11.0243055555556	3.29534399998374	2.35736090003047	2.34448510000948	0.11119794068301	5.09772469999734	1.26261872381591	596313.6840894	1	1	1	1	1	8	2	3	1	1	0.18	0.1875	0	1	2	8	1	1
399	3	2	4	1	21	111.009391800035	111.736712299986	111.054757699952	111.719888199936	111.936624199967	113.520645000041	115.286441099946	120.384615899995	120.384852799936	124.964306400041	126.532572999946	124.963928899961	126.532201500027	128.492395199952	128.511783699971	0	1.58402080007363	1	0	32	32	32	17	17	1	11.1979166666667	1.64930555555556	0	4.49280410003848	1.47849500004668	1.8767727999948	0.176190523851466	5.09817480004858	1.08940319850577	596313.8574231	1	1	1	1	1	9	4	3	1	2	0.18	0.1875	0	0	2	9	1	1
399	3	2	4	1	21	129.611973999999	130.392884399975	129.661375100026	130.359289799933	130.592755299993	133.347671799944	135.108661600039	140.221454499988	NA	NA	NA	NA	NA	NA	140.237104599946	1	2.75491649995092	0	0	32	17	17	32	32	0	NA	NA	NA	NA	NA	NA	0.175564815051561	5.11279289994854	1.55794464117282	596307.4487146	1	0	0	0	1	10	1	3	0	1	0.18	0.1875	0	0	2	10	1	1
